
"Requirement Type","ID","Parent ID","Name","Short Description","Description","Status","Author","Suspect","Priority","Req ID","Message Key","Source"
"02 SRF Functional Requirements","FR--1"," ","Entry","None","None","New","hofmanc","False","Unassigned","1","",""
"02 SRF Functional Requirements","FR--1.1","FR--1","Entry - Check For Duplicate Records","None","None","New","hofmanc","False","Unassigned","1/1/2008","",""
"02 SRF Functional Requirements","FR--1.1.1","FR--1.1","Entry - Check For Duplicate Records","Search for a duplicate supervised release file (SRF) record upon each new entry of a supervised release file record.","Search for a duplicate supervised release file (SRF) record upon each new entry of a supervised release file record.","New","hofmanc","False","Unassigned","1/1/2001","",""
"02 SRF Functional Requirements","FR--1.1.2","FR--1.1","Entry - Check For Duplicate Records","Identify a duplicate supervised release file record based upon definitions (comparison of one or more fields) for duplicate records.","Identify a duplicate supervised release file record based upon definitions (comparison of one or more fields) for duplicate records.","New","hofmanc","False","Unassigned","1/1/2002","",""
"02 SRF Functional Requirements","FR--1.1.2.1","FR--1.1.2","Entry - Check For Duplicate Records","Identify a duplicate supervised release file record based upon the same Originating Agency Identifier (ORI), Originating Agency Case Number (OCA) and Type (TYP.)","Identify a duplicate supervised release file record based upon the same Originating Agency Identifier (ORI), Originating Agency Case Number (OCA) and Type (TYP.)","New","hofmanc","False","Unassigned","1.1.2.1","",""
"02 SRF Functional Requirements","FR--1.2","FR--1","Entry - Enter County Probation Record","None","None","New","hofmanc","False","Unassigned","1/2/2008","",""
"02 SRF Functional Requirements","FR--1.2.1","FR--1.2","Entry - Enter County Probation Record","Add a county probation record in the SRF when the EPR message (county probation entry format) is accepted.","Add a county probation record in the SRF when the EPR message (county probation entry format) is accepted.","New","hofmanc","False","Unassigned","1/2/2001","EPR",""
"02 SRF Functional Requirements","FR--1.2.2","FR--1.2","Entry - Enter County Probation Record","Enforce all business rules for the EPR message (county probation entry format) prior to adding a county probation record to the SRF.","Enforce all business rules for the EPR message (county probation entry format) prior to adding a county probation record to the SRF.","New","hofmanc","False","Unassigned","1/2/2002","EPR",""
"02 SRF Functional Requirements","FR--1.3","FR--1","Entry - Enter Federal Probation Record","None","None","New","hofmanc","False","Unassigned","1/3/2008","",""
"02 SRF Functional Requirements","FR--1.3.1","FR--1.3","Entry - Enter Federal Probation Record","Add a federal probation record in the SRF when the EFR message (federal probation entry format) is accepted.","Add a federal probation record in the SRF when the EFR message (federal probation entry format) is accepted.","New","hofmanc","False","Unassigned","1/3/2001","EFR",""
"02 SRF Functional Requirements","FR--1.3.2","FR--1.3","Entry - Enter Federal Probation Record","Enforce all business rules for the EFR message (federal probation entry format) prior to adding a federal probation record to the SRF.","Enforce all business rules for the EFR message (federal probation entry format) prior to adding a federal probation record to the SRF.","New","hofmanc","False","Unassigned","1/3/2002","EFR",""
"02 SRF Functional Requirements","FR--1.4","FR--1","Entry - Enter Career Criminal Record","None","None","New","hofmanc","False","Unassigned","1/4/2008","",""
"02 SRF Functional Requirements","FR--1.4.1","FR--1.4","Entry - Enter Career Criminal Record","Enter a career criminal record in the SRF when the ECR message (career criminal entry format) is accepted.","Enter a career criminal record in the SRF when the ECR message (career criminal entry format) is accepted.","New","hofmanc","False","Unassigned","1/4/2001","ECR",""
"02 SRF Functional Requirements","FR--1.4.2","FR--1.4","Entry - Enter Career Criminal Record","Enforce all business rules for the ECR message (career criminal entry format) prior to adding a career criminal record in the SRF.","Enforce all business rules for the ECR message (career criminal entry format) prior to adding a career criminal record in the SRF.","New","hofmanc","False","Unassigned","1/4/2002","ECR",""
"02 SRF Functional Requirements","FR--1.5","FR--1","Entry - Enter California Department Of Corrections (CDCR) Record","None","None","New","hofmanc","False","Unassigned","1/5/2008","",""
"02 SRF Functional Requirements","FR--1.5.1","FR--1.5","Entry - Enter California Department Of Corrections (CDCR) Record","Enter a CDCR record in the SRF when the ECA message (CDCR entry format) is accepted.","Enter a CDCR record in the SRF when the ECA message (CDCR entry format) is accepted.","New","hofmanc","False","Unassigned","1/5/2001","ECA",""
"02 SRF Functional Requirements","FR--1.5.2","FR--1.5","Entry - Enter California Department Of Corrections (CDCR) Record","Enforce all business rules for the ECA message (CDCR entry format) prior to entering a CDCR record in the SRF.","Enforce all business rules for the ECA message (CDCR entry format) prior to entering a CDCR record in the SRF.","New","hofmanc","False","Unassigned","1/5/2002","ECA",""
"02 SRF Functional Requirements","FR--1.6","FR--1","Entry - Enter California Youth Authority (CYA) Record","None","None","New","hofmanc","False","Unassigned","1/6/2008","",""
"02 SRF Functional Requirements","FR--1.6.1","FR--1.6","Entry - Enter California Youth Authority (CYA) Record","Enter a CYA record in the SRF when the EYA message (CYA entry format) is accepted.","Enter a CYA record in the SRF when the EYA message (CYA entry format) is accepted.","New","hofmanc","False","Unassigned","1/6/2001","EYA",""
"02 SRF Functional Requirements","FR--1.6.2","FR--1.6","Entry - Enter California Youth Authority (CYA) Record","Enforce all business rules for the EYA message (CYA entry format) prior to adding a CYA record in the SRF.","Enforce all business rules for the EYA message (CYA entry format) prior to adding a CYA record in the SRF.","New","hofmanc","False","Unassigned","1/6/2002","EYA",""
"02 SRF Functional Requirements","FR--1.7","FR--1","Entry - Enter Department Of Mental Health (DMH) Record","None","None","New","hofmanc","False","Unassigned","1/7/2008","",""
